id,type,name,device_type,price,stock,created_at,updated_at
193,screens,اسكرينه الخضره,"sam A70 6.7"" 1080x2400",75,8,2024-10-05 16:02:26,2025-01-04 14:33:58
194,screens,اسكرينه الخضره,"sam A34 6.6"" 1080x2340",75,7,2024-10-05 16:03:30,2025-01-04 14:33:26
195,screens,اسكرينه الخضره,"sam A14 6.5"" 720x1600",75,8,2024-10-05 16:03:57,2025-01-04 14:32:57
196,screens,اسكرينه الخضره,"poco X3 6.67"" 1080x2400",75,4,2024-10-05 16:04:24,2025-01-04 14:32:22
197,screens,اسكرينه الخضره,"sam A24 6.5"" 1080x2340",75,6,2024-10-05 16:05:23,2025-01-04 14:31:44
198,screens,اسكرينه الخضره,"poco m3 6.53"" 1080x2340",75,4,2024-10-05 16:05:55,2025-01-04 14:31:01
199,screens,اسكرينه الخضره,"sam A04s 6.4"" 720x1560",75,5,2024-10-05 16:06:17,2025-01-04 14:30:25
200,screens,اسكرينه الخضره,"sam A11 6.4"" 720x1560",75,5,2024-10-05 16:06:41,2025-01-04 14:29:49
201,screens,اسكرينه الخضره,"op Reno2f 6.5"" 1080x2340",75,3,2024-10-05 16:08:28,2025-01-04 14:28:48
202,screens,اسكرينه الخضره,"op A16 6.52"" 720x1600",75,2,2024-10-05 16:08:54,2025-01-04 14:27:56
203,screens,اسكرينه الخضره,"sam A23 6.6"" 1080x2408",75,5,2024-10-05 16:09:21,2025-01-04 14:27:01
627,screens,غزاله,"rl c3 6.5"" 720x1600",60,5,2024-10-21 17:43:57,2025-01-04 14:25:40
628,screens,غزاله,"op A1K 6.1"" 720x1560",60,3,2024-10-21 18:08:34,2025-01-04 14:25:01
629,screens,غزاله,"sam A20s 6.5"" 720x1560",60,5,2024-10-21 18:17:09,2025-01-04 14:24:32
630,screens,غزاله,"sam A22 6.4"" 720x1600",60,4,2024-10-21 18:18:21,2025-01-04 14:23:58
631,screens,غزاله,"op A73 6.44"" 1080x2400",60,5,2024-10-21 18:27:05,2025-01-04 14:23:27
632,screens,غزاله,"op f9 6.3"" 1080x2340",60,5,2024-10-21 18:27:51,2025-01-04 14:22:53
633,screens,غزاله,"infinx X682 6.78"" 720x1640",60,5,2024-10-21 18:29:15,2025-01-04 14:22:23
634,screens,غزاله,"rd Note12 6.67"" 1080x2400",60,4,2024-10-21 18:30:09,2025-01-04 14:21:45
635,screens,غزاله,"rd mi 9c 6.53"" 720x1600",60,4,2024-10-22 18:36:07,2025-01-04 14:21:23
645,screens,غزاله,"A21S 6.5"" 720x1600",60,5,2024-10-26 18:14:15,2025-01-04 14:20:38
646,screens,غزاله,IP 11,60,4,2024-10-26 18:15:21,2024-10-28 16:09:32
647,screens,غزاله,"rd Note7 6.3"" 1080x2340",60,5,2024-10-26 18:21:11,2025-01-04 14:19:52
648,screens,غزاله,"A20 / A30 / A50 6.4"" 1080x2340",60,3,2024-10-26 18:26:17,2025-01-04 14:19:08
650,screens,اسكرينه في العلبه توكيل فامي,IP X/XS/11PRO,175,2,2024-10-26 18:34:34,2024-10-26 18:34:34
651,screens,اسكرينه في العلبه توكيل فامي,IP XR/11,175,2,2024-10-26 18:35:31,2024-10-26 18:35:31
652,screens,اسكرينه في العلبه توكيل,IP 11 PRO/ X,175,0,2024-10-26 18:37:09,2024-11-13 16:12:48
653,screens,اسكرينه في العلبه توكيل,IP 11/XR,175,4,2024-10-26 18:37:56,2024-10-26 18:37:56
654,screens,اسكرينه خضره,"op Reno7 6.43"" 1080x2400",100,5,2024-10-26 18:52:00,2025-01-04 14:18:33
655,screens,اسكرينه خضره,"OP A54 6.51"" 720x1600",100,5,2024-10-26 18:53:07,2025-01-04 14:17:50
656,screens,اسكرينه خضره,"op Reno6 6.4"" 1080x2400",100,2,2024-10-26 18:54:48,2025-01-04 14:17:15
657,screens,اسكرينه خضره,"C12 6.5"" 720x1560",100,5,2024-10-26 18:59:24,2025-01-04 14:16:07
658,screens,اسكرينه خضره,"sam A12 6.5"" 720x1600",100,5,2024-10-26 19:00:26,2025-01-04 14:15:08
659,screens,اسكرينه خضره,"sam A13 6.6"" 1080x2408",100,5,2024-10-26 19:01:43,2025-01-04 14:14:30
660,screens,اسكرينه خضره,"SAM A52S 6.5"" 1080x2400",100,4,2024-10-26 19:02:23,2025-01-04 14:13:51
661,screens,اسكرينه خضره,"rd Note10pro 6.67"" 1080x2400",100,4,2024-10-26 19:04:06,2025-01-04 14:13:14
662,screens,اسكرينه خضره,"rd Note8pro 6.67"" 1080x2400",100,5,2024-10-26 19:04:53,2025-01-04 14:12:23
663,screens,اسكرينه خضره,"rd Mi11t 6.67"" 1080x2400",100,5,2024-10-26 19:05:40,2025-01-04 14:11:48
664,screens,اسكرينه خضره,"rd Note11pro 6.67"" 1080x2400",100,5,2024-10-26 19:06:12,2025-01-04 14:10:47
665,screens,اسكرينه خضره,"rd Note12 6.67"" 1080x2400",100,3,2024-10-26 19:06:50,2024-12-21 16:09:05
678,screens,غزاله,"a51 6.5"" 1080x2400",60,1,2024-11-12 19:19:43,2024-12-21 16:08:01
679,screens,Hd+,ip 14 pro max,40,5,2024-11-12 19:31:24,2024-11-12 19:43:47
680,screens,Hd+,ip X,40,3,2024-11-12 19:42:43,2024-11-12 19:42:43
683,screens,Hd+,"x682 6.78"" 720x1640",40,3,2024-11-12 20:16:56,2025-01-12 20:54:23
684,screens,Hd+,"x608 6.0"" 720x1440",40,0,2024-11-12 20:28:47,2025-01-12 16:43:59
