"id","company","model","content","created_at","updated_at"
"105",,"ايفون 11 pro max","بورده icloud","2024-10-29 22:20:07","2024-10-29 22:20:07"
"106",,"هونر 50 لايت شاشه","بصمه + سماعه  بتاع البغدادى","2024-10-29 22:22:54","2024-10-29 22:22:54"
"107",,"رينو4","شاشه","2024-10-29 22:23:25","2024-10-29 22:23:25"
"108",,"a71 oppo","شغاله ومعها تاتش","2024-10-29 22:25:33","2024-10-29 22:25:33"
"109",,"ايفون","بورده","2024-10-29 22:26:37","2024-10-29 22:26:37"
"110",,NULL,"فلاته باور","2024-10-29 22:27:07","2024-10-29 22:27:07"
"111",,"lg g5","بدون شاشه","2024-10-29 22:28:00","2024-10-29 22:28:00"
"112",,"6+ و7+ و 8+و","بطاريه","2024-10-29 22:29:48","2024-10-29 22:29:48"
"113",,"oppo a73","واقف تاتش","2024-10-29 22:30:35","2024-10-29 22:30:35"
"114",,"ip 8+","شاشه","2024-10-29 22:31:07","2024-10-29 22:31:07"
"115",,"m11","جهاز","2024-10-29 22:31:41","2024-10-29 22:31:41"
"116",,"Y7 19","فرام + شاشه","2024-10-29 22:32:26","2024-10-29 22:32:26"
"117",NULL,"f1s","جهاز كامل شاشه مكسوره","2024-10-29 22:32:54","2024-10-30 01:24:59"
"118",,NULL,"y 7 19","2024-10-29 22:33:43","2024-10-29 22:33:43"
"119",,"رينو5","بورده","2024-10-29 22:34:17","2024-10-29 22:34:17"
"120",,"a12","جهاز","2024-10-29 22:34:48","2024-10-29 22:34:48"
"121",,"a10s","فريم + فلاته ربط","2024-10-29 22:35:43","2024-10-29 22:35:43"
"122",,"رلمي نوت 9","جهاز","2024-10-29 22:36:26","2024-10-29 22:36:26"
"123",,"ip 11","هوسينج + فلاتات","2024-10-29 22:37:32","2024-10-29 22:37:32"
"124",,"y6s","جهاز","2024-10-29 22:38:13","2024-10-29 22:38:13"
"125",NULL,"ريلمي نوت 9","جهاز","2024-10-29 22:38:28","2024-10-30 01:25:11"
"126",,"ip11","شاشه","2024-10-29 22:38:53","2024-10-29 22:38:53"
"127",,"ip11","هوسينج","2024-10-29 22:40:19","2024-10-29 22:40:19"
"128",,"ايفون 7","شاشه","2024-10-29 22:41:03","2024-10-29 22:41:03"
"129",,"a02s","شاشه","2024-10-29 22:44:16","2024-10-29 22:44:16"
"130",,"ايفون 11","شاشه مكسوره","2024-10-29 22:45:34","2024-10-29 22:45:34"
"131",,NULL,"باغات","2024-10-29 22:47:21","2024-10-29 22:47:21"
"132",,"z filp3 5g","جهاز","2024-10-29 22:48:23","2024-10-29 22:48:23"
"133",,"a53","جهاز كامل بدون شاشه","2024-10-29 22:49:08","2024-10-29 22:49:08"
"134",,"ايفون 11","شاشه رامي ابريم","2024-10-30 16:20:51","2024-10-30 16:20:51"
"135",,"Y6 P","شاشه وقفه","2024-10-30 16:24:05","2024-10-30 16:24:05"
"136",,NULL,"بورده اندرويد","2024-10-30 16:31:14","2024-10-30 16:31:14"
