"id","company","model","content","created_at","updated_at"
"92","SAMSUNG","G350","هاوسينج","2024-10-27 01:53:41","2024-10-27 01:55:55"
"93","SAMSUNG","G935","شاشه بفريم + فلاته شحن","2024-10-27 17:50:52","2024-10-27 17:50:52"
"94","SAMSUNG","A50","شاشه بفريم","2024-10-27 17:51:17","2024-10-27 17:51:17"
"95","SAMSUNG","J1","بورده + هوسينج","2024-10-27 17:54:11","2024-10-27 17:54:11"
"96","SAMSUNG","A02S","فريم","2024-10-27 17:54:44","2024-10-27 17:54:44"
"97","SAMSUNG","NOTE9","كامرات + فرام","2024-10-27 17:55:27","2024-10-27 17:55:27"
"98","SAMSUNG","E500","باك + بطاريه + فلاته شحن + جرس","2024-10-27 17:56:56","2024-10-27 17:56:56"
"99","SAMSUNG","A20","فرام","2024-10-27 17:57:31","2024-10-27 17:57:31"
"100","SAMSUNG","A30","هوسينج + بصمه","2024-10-27 18:20:42","2024-10-27 18:20:42"
"101","SAMSUNG","J250","بورده + هوسينج","2024-10-27 18:21:19","2024-10-27 18:21:19"
"102","SAMSUNG","J530","بورده + هوسينج + بيت خط","2024-10-27 18:58:45","2024-10-27 20:10:50"
"103","SAMSUNG","J400","هوسينج","2024-10-27 20:11:55","2024-10-27 20:11:55"
"104","SAMSUNG","NY005","فريم + بورده + فلاته شحن","2024-10-27 20:25:20","2024-10-27 20:25:20"
"105","SAMSUNG","J105","باك + فريم","2024-10-27 20:26:09","2024-10-27 20:26:09"
"106","SAMSUNG","J260","بورده + هوسينج","2024-10-27 20:26:43","2024-10-27 20:26:43"
"107","SAMSUNG","A50","فريم + ميدل","2024-10-27 20:27:37","2024-10-27 20:27:37"
"108","SAMSUNG","A310","هوسينج","2024-10-27 20:28:07","2024-10-27 20:28:07"
"109","SAMSUNG","NOTE5","بورده + فريم","2024-10-27 20:29:29","2024-10-27 20:29:29"
"110","SAMSUNG","N7100","بورده + فريم","2024-10-27 20:30:16","2024-10-27 20:30:16"
"111","SAMSUNG","NOTE3","باك + هوسينج","2024-10-27 20:31:10","2024-10-27 20:31:10"
"112","SAMSUNG","J11","بورده + باك + ميدل","2024-10-27 20:32:39","2024-10-27 20:32:39"
"113","SAMSUNG","L8262","كامل بدون بطاريه","2024-10-27 20:33:58","2024-10-27 20:33:58"
"114","SAMSUNG","S20 ULTER","فريم","2024-10-27 20:34:34","2024-10-27 20:34:34"
"115","SAMSUNG","J11F","كامل بدون بطاريه","2024-10-27 20:35:10","2024-10-27 20:35:10"
"116","SAMSUNG","NY00","باك + فريم3","2024-10-27 20:35:58","2024-10-27 20:35:58"
"117","SAMSUNG","A12","هوسينج","2024-10-27 20:36:24","2024-10-27 20:36:24"
"118","SAMSUNG","GT-5762","كامل بدون بطاريه","2024-10-27 20:37:16","2024-10-27 20:37:16"
"119","SAMSUNG","L8262","كامل","2024-10-27 20:37:52","2024-10-27 20:37:52"
"120","SAMSUNG","G532","كامل بدون بطاريه","2024-10-27 20:38:25","2024-10-27 20:38:25"
"121","SAMSUNG","A51","كامره + بيت خط + ميدل + باك","2024-10-27 20:41:05","2024-10-27 20:41:05"
"122","SAMSUNG","J810F","كامل","2024-10-27 20:41:46","2024-10-27 20:41:46"
